Name,Country,Latitude,Longitude,Elevation,Type,Status,marker-symbol
Denison,United States,58.42,-154.45,2318,Stratovolcano,Uncertain,vol-red
Descabezado Grande,Chile,-35.58,-70.75,3953,Stratovolcano,Historical,vol-red
Devils Garden,United States,43.512,-120.861,1698,Volcanic field,Holocene,vol-red
Dgida Basin,Russia,50.52,103.25,1500,Cinder cone,Holocene,vol-red
"Dhamar, Harras of",Yemen,14.57,44.67,3500,Volcanic field,Historical,vol-red
"Diable, Morne Au",Dominica,15.62,-61.45,861,Stratovolcano,Fumarolic,vol-red
"Diablotins, Morne",Dominica,15.5,-61.42,1430,Stratovolcano,Holocene,vol-red
Diamond Craters,United States,43.1,-118.75,1435,Volcanic field,Holocene,vol-red
Didicas,Philippines,19.077,122.202,244,Compound volcano,Historical,vol-red
Dieng Volc Complex,Indonesia,-7.2,109.92,2565,Complex volcano,Historical,vol-red
Diky Greben,Russia,51.43,157,1070,Lava dome,Radiocarbon,vol-red
Dofen,Ethiopia,9.35,40.13,1151,Stratovolcano,Holocene,vol-red
Doma Peaks,Papua New Guinea,-5.9,143.15,3568,Stratovolcano,Holocene,vol-red
Domuyo,Argentina,-36.63,-70.42,4709,Stratovolcano,Holocene,vol-red
Don Joao de Castro Bank,Portugal,38.23,-26.63,-14,Submarine volcano,Historical,vol-red
Dona Juana,Colombia,1.47,-76.92,4150,Stratovolcano,Historical,vol-red
Dotsero,United States,39.65,-107.03,2230,Maar,Radiocarbon,vol-red
Douglas,United States,58.87,-153.55,2140,Stratovolcano,Fumarolic,vol-red
Doyo Seamount,Japan,27.683,140.8,-860,Submarine volcano,Fumarolic,vol-red
Dubbi,Eritrea,13.58,41.808,1625,Stratovolcano,Historical,vol-red
Dukono,Indonesia,1.68,127.88,1185,Complex volcano,Historical,vol-red
Duncan Canal,United States,56.5,-133.1,15,Unknown,Holocene,vol-red
Durango Volc Field,Mexico,24.15,-104.45,2075,Cinder cone,Holocene,vol-red
Dutton,United States,55.18,-162.27,1506,Stratovolcano,Holocene,vol-red
Dzenzursky,Russia,53.637,158.922,2155,Compound volcano,Holocene,vol-red
E-san,Japan,41.8,141.17,618,Stratovolcano,Historical,vol-red
Eagle Lake Field,United States,40.63,-120.83,1652,Fissure vent,Holocene,vol-red
Easter Island,Chile,-27.15,-109.383,511,Shield volcanoes,Holocene,vol-red
Eastern Gemini Seamount,Pacific Ocean,-20.98,170.28,-80,Submarine volcano,Historical,vol-red
Ebeko,Russia,50.68,156.02,1156,Somma volcano,Historical,vol-red
Ebulobo,Indonesia,-8.808,121.18,2124,Stratovolcano,Historical,vol-red
"Eburru, Ol Doinyo",Kenya,-0.63,36.23,2856,Complex volcano,Holocene,vol-red
"Ecuador, Volcan",Ecuador,-0.02,-91.546,790,Shield volcano,Holocene,vol-red
Edgecumbe,United States,57.05,-135.75,976,Stratovolcano,Radiocarbon,vol-red
Edziza,Canada,57.72,-130.63,2786,Stratovolcano,Radiocarbon,vol-red
Eggella,Russia,56.57,158.52,1046,Shield volcano,Holocene,vol-red
Egmont,New Zealand,-39.3,174.07,2518,Stratovolcano,Radiocarbon,vol-red
Egon,Indonesia,-8.67,122.45,1703,Stratovolcano,Historical,vol-red
Ekarma,Russia,48.958,153.93,1170,Stratovolcano,Historical,vol-red
Elbrus,Russia,43.33,42.45,5633,Stratovolcano,Tephrochronology,vol-red
Elmenteita Badlands,Kenya,-0.52,36.27,2126,Pyroclastic cone,Holocene,vol-red
Elovsky,Russia,57.53,160.53,1381,Shield volcano,Holocene,vol-red
Emmons Lake,United States,55.33,-162.07,1465,Caldera,Holocene,vol-red
Emperor of China,Pacific Ocean,-6.62,124.22,-2850,Submarine volcano,Uncertain,vol-red
Emuruangogolak,Kenya,1.5,36.33,1328,Shield volcano,Radiocarbon,vol-red
Endeavour Ridge,Pacific Ocean,47.95,-129.1,-2400,Submarine volcano,Historical,vol-red
Epi,Vanuatu,-16.68,168.37,833,Stratovolcano,Historical,vol-red
Erciyes Dagi,Turkey,38.52,35.48,3916,Stratovolcano,Holocene,vol-red
Erebus,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical,vol-red
Erta Ale,Ethiopia,13.6,40.67,613,Shield volcano,Historical,vol-red
Es Safa,Syria,33.08,37.15,979,Volcanic field,Historical,vol-red
Escanaba Segment,Pacific Ocean,40.983,-127.5,-1700,Submarine volcano,Uranium-series,vol-red
"Escorial, Cerro",Argentina,-25.08,-68.37,5447,Stratovolcano,Holocene,vol-red
Esjufjoll,Iceland,64.27,-16.65,1760,Stratovolcano,Historical,vol-red
Esmeralda Bank,United States,15,145.25,-43,Submarine volcano,Fumarolic,vol-red
Espenberg,United States,66.35,-164.33,243,Volcanic field,Tephrochronology,vol-red
"Est, Ile de l'",French Southern & Antarctic Lands,-46.43,52.2,1090,Stratovolcano,Holocene,vol-red
Esteli,Nicaragua,13.17,-86.4,899,Fissure vent,Holocene,vol-red
Etna,Italy,37.734,15.004,3350,Stratovolcano,Historical,vol-red
Eyjafjallajokull,Iceland,63.63,-19.62,1666,Stratovolcano,Historical,vol-red
Falcon Island,Tonga,-20.32,-175.42,-17,Submarine volcano,Historical,vol-red
Farallon de Pajaros,United States,20.53,144.9,360,Stratovolcano,Historical,vol-red
Fayal,Portugal,38.6,-28.73,1043,Stratovolcano,Historical,vol-red
Fedotych,Russia,57.13,160.4,965,Shield volcano,Holocene,vol-red
Fentale,Ethiopia,8.975,39.93,2007,Stratovolcano,Historical,vol-red
Fernandina,Ecuador,-0.37,-91.55,1495,Shield volcano,Historical,vol-red
"Firura, Nevados",Peru,-15.23,-72.63,5498,Stratovolcano,Holocene,vol-red
Fisher,United States,54.67,-164.35,1094,Stratovolcano,Historical,vol-red
Flores,Guatemala,14.3,-90,1600,Volcanic field,Holocene,vol-red
Flores,Portugal,39.4,-31.17,915,Stratovolcano,Radiocarbon,vol-red
Fogo,Cape Verde,14.95,-24.35,2829,Stratovolcano,Historical,vol-red
Fonualei,Tonga,-18.02,-174.325,200,Stratovolcano,Historical,vol-red
Forecast Seamount,United States,13.4,143.917,,Submarine volcano,Fumarolic,vol-red
Fort Portal Field,Uganda,0.7,30.25,1524,Tuff cone,Holocene,vol-red
Fort Selkirk,Canada,62.93,-137.38,1239,Volcanic field,Holocene,vol-red
Four Craters Lava Field,United States,43.361,-120.669,1501,Volcanic field,Holocene,vol-red
"Fournaise, Piton de la",Reunion,-21.229,55.713,2631,Shield volcano,Historical,vol-red
Fourpeaked,United States,58.77,-153.68,2104,Stratovolcano,Uncertain,vol-red
Fremrinamur,Iceland,65.43,-16.65,939,Stratovolcano,Tephrochronology,vol-red
Frosty,United States,55.07,-162.82,1920,Stratovolcano,Holocene,vol-red
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,vol-red
Fuerteventura,Spain,28.358,-14.02,529,Fissure vent,Holocene,vol-red
Fuji,Japan,35.35,138.73,3776,Stratovolcano,Historical,vol-red
Fukue-jima,Japan,32.653,128.851,317,Shield volcanoes,Tephrochronology,vol-red
Fukujin,Japan,21.925,143.442,-217,Submarine volcano,Historical,vol-red
Fukutoku-okanoba,Japan,24.28,141.52,-14,Submarine volcano,Historical,vol-red
Furnas,Portugal,37.77,-25.32,805,Stratovolcano,Historical,vol-red
Fuss Peak,Russia,50.27,155.25,1772,Stratovolcano,Historical,vol-red
Gabillema,Ethiopia,11.08,41.27,1459,Stratovolcano,Holocene,vol-red
Gada Ale,Ethiopia,13.975,40.408,287,Stratovolcano,Holocene,vol-red
Galapagos Rift,Pacific Ocean,0.792,-86.15,-2430,Submarine volcano,Historical,vol-red
Galapagos Rift,Pacific Ocean,0.792,-86.15,-2430,Submarine volcano,Historical,vol-red
Galeras,Colombia,1.22,-77.37,4276,Complex volcano,Historical,vol-red
Gallego,Solomon Is.,-9.35,159.73,1000,Volcanic field,Holocene,vol-red
Galunggung,Indonesia,-7.25,108.05,2168,Stratovolcano,Historical,vol-red
Gamalama,Indonesia,0.8,127.325,1715,Stratovolcano,Historical,vol-red
Gamchen,Russia,54.973,160.702,2576,Complex volcano,Holocene,vol-red
Gamkonora,Indonesia,1.375,127.52,1635,Stratovolcano,Historical,vol-red
Garbuna Group,Papua New Guinea,-5.45,150.03,564,Stratovolcano,Holocene,vol-red
Gareloi,United States,51.78,-178.8,1573,Stratovolcano,Historical,vol-red
Garibaldi Lake,Canada,49.92,-123.03,2316,Volcanic field,Holocene,vol-red
"Garibaldi, Mt.",Canada,49.85,-123,2678,Stratovolcano,Radiocarbon,vol-red
Garove,Papua New Guinea,-4.692,149.5,368,Stratovolcano,Holocene,vol-red
Garua Harbour,Papua New Guinea,-5.269,150.088,565,Volcanic field,Holocene,vol-red
Gaua,Vanuatu,-14.27,167.5,797,Stratovolcano,Historical,vol-red
Gedamsa Caldera,Ethiopia,8.35,39.18,1984,Caldera,Holocene,vol-red
Gede,Indonesia,-6.78,106.98,2958,Stratovolcano,Historical,vol-red
Genovesa,Ecuador,0.32,-89.958,64,Shield volcano,Holocene,vol-red
Geodesistoy,Russia,56.33,158.67,1170,Shield volcano,Holocene,vol-red
Giggenbach,New Zealand,-30.036,-178.713,-65,Submarine volcano,Fumarolic,vol-red
Girekol,Turkey,39.17,43.33,0,Unknown,Holocene,vol-red
Glacier Peak,United States,48.112,-121.113,3213,Stratovolcano,Tephrochronology,vol-red
"Gloria, La",Mexico,19.33,-97.25,3500,Volcanic field,Holocene,vol-red
Golden Trout Creek,United States,36.358,-118.32,2886,Volcanic field,Tephrochronology,vol-red
Golets-Tornyi Group,Russia,45.25,148.35,442,Pyroclastic cone,Holocene,vol-red
Gollu Dag,Turkey,38.25,34.57,2143,Lava dome,Holocene,vol-red
Golovnin,Russia,43.85,145.53,541,Caldera,Historical,vol-red
Goodenough,Papua New Guinea,-9.48,150.35,220,Volcanic field,Holocene,vol-red
Gordon,United States,62.13,-143.08,2755,Cinder cone,Holocene,vol-red
Gorely,Russia,52.558,158.03,1829,Caldera,Historical,vol-red
Goriaschaia Sopka,Russia,46.83,151.75,891,Stratovolcano,Historical,vol-red
Gorny Institute,Russia,57.33,160.2,2125,Stratovolcano,Holocene,vol-red
Graciosa,Portugal,39.02,-27.97,402,Stratovolcano,Holocene,vol-red
Gran Canaria,Spain,28,-15.58,1950,Fissure vent,Radiocarbon,vol-red
Great Sitkin,United States,52.08,-176.13,1740,Stratovolcano,Historical,vol-red
Griggs,United States,58.35,-155.1,2317,Stratovolcano,Holocene,vol-red
"Grille, La",Comoros,-11.47,43.33,1087,Shield volcano,Holocene,vol-red
Grimsnes,Iceland,64.03,-20.87,214,Crater rows,Tephrochronology,vol-red
Grimsvotn,Iceland,64.42,-17.33,1725,Caldera,Historical,vol-red
Groppo,Ethiopia,11.73,40.25,930,Stratovolcano,Holocene,vol-red
Grozny Group,Russia,45.02,147.87,1211,Complex volcano,Historical,vol-red
Guadalupe,Mexico,29.07,-118.28,1100,Shield volcano,Holocene,vol-red
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,vol-red
Guallatiri,Chile,-18.42,-69.17,6071,Stratovolcano,Historical,vol-red
Guayaques,Bolivia,-22.88,-67.58,5598,Lava dome,Holocene,vol-red
Guazapa,El Salvador,13.9,-89.12,1438,Stratovolcano,Holocene,vol-red
Gufa,Eritrea,12.55,42.53,600,Volcanic field,Holocene,vol-red
Guguan,United States,17.32,145.85,287,Stratovolcano,Historical,vol-red
Guntur,Indonesia,-7.13,107.83,2249,Complex volcano,Historical,vol-red
Gunungapi Wetar,Pacific Ocean,-6.642,126.65,282,Stratovolcano,Historical,vol-red
Hachijo-jima,Japan,33.13,139.77,854,Stratovolcano,Historical,vol-red
Hachimantai,Japan,39.95,140.85,1614,Stratovolcano,Holocene,vol-red
Hainan Dao,China,19.7,110.1,,Pyroclastic cones,Historical,vol-red
Hakkoda Group,Japan,40.65,140.88,1585,Stratovolcano,Holocene,vol-red
Hakone,Japan,35.22,139.02,1438,Complex volcano,Radiocarbon,vol-red
Haku-san,Japan,36.15,136.78,2702,Stratovolcano,Historical,vol-red
Haleakala,United States,20.708,-156.25,3055,Shield volcano,Historical,vol-red
Halla,South Korea,33.37,126.53,1950,Shield volcano,Historical,vol-red
Hanish,Yemen,13.72,42.73,422,Shield volcano,Holocene,vol-red
Hargy,Papua New Guinea,-5.33,151.1,1148,Stratovolcano,Radiocarbon,vol-red
"Harrah, Al",Saudi Arabia,31.083,38.417,1100,Volcanic field,Holocene,vol-red
Haruj,Libya,27.25,17.5,1200,Scoria cone,Holocene,vol-red
Haruna,Japan,36.47,138.88,1449,Stratovolcano,Anthropology,vol-red
Hasan Dagi,Turkey,38.13,34.17,3253,Stratovolcano,Holocene,vol-red
Haut Dong Nai,Vietnam,11.6,108.2,1000,Volcanic field,Holocene,vol-red
Hayes,United States,61.62,-152.48,2788,Stratovolcano,Radiocarbon,vol-red
"Haylan, Jabal",Yemen,15.43,44.78,1550,Volcanic field,Anthropology,vol-red
Hayli Gubbi,Ethiopia,13.5,40.72,521,Shield volcano,Holocene,vol-red
Healy,New Zealand,-35.004,178.973,980,Submarine volcano,Radiocarbon,vol-red
Heard,Heard I. & McDonald Is.,-53.106,73.513,2745,Stratovolcano,Historical,vol-red
Heart Peaks,Canada,58.6,-131.97,2012,Shield volcano,Holocene,vol-red
Hekla,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,vol-red
Hell's Half Acre,United States,43.5,-112.45,1631,Shield volcano,Radiocarbon,vol-red
Hengill,Iceland,64.18,-21.33,803,Crater rows,Radiocarbon,vol-red
Herbert,United States,52.75,-170.12,1290,Stratovolcano,Holocene,vol-red
Hertali,Ethiopia,9.78,40.33,900,Fissure vent,Holocene,vol-red
Hibok-Hibok,Philippines,9.203,124.673,1332,Stratovolcano,Historical,vol-red
Hierro,Spain,27.73,-18.03,1500,Shield volcano,Historical,vol-red
Hijiori,Japan,38.6,140.18,516,Caldera,Radiocarbon,vol-red
Hiri,Indonesia,0.88,127.32,630,Stratovolcano,Holocene,vol-red
Hiuchi,Japan,36.95,139.28,2346,Stratovolcano,Historical,vol-red
Hobicha Caldera,Ethiopia,6.78,37.83,1800,Caldera,Holocene,vol-red
Hodson,Antarctica,-56.7,-27.15,1005,Stratovolcano,Holocene,vol-red
Hofsjokull,Iceland,64.78,-18.92,1782,Subglacial volcano,Holocene,vol-red
Homa Mountain,Kenya,-0.38,34.5,1751,Complex volcano,Holocene,vol-red
Home Reef,Tonga,-18.992,-174.775,-2,Submarine volcano,Historical,vol-red
Honggeertu,China,41.47,113,1700,Cinder cone,Holocene,vol-red
Hood,United States,45.374,-121.694,3426,Stratovolcano,Historical,vol-red
Hoodoo Mountain,Canada,56.78,-131.28,1820,Subglacial volcano,Holocene,vol-red
Hornopiren,Chile,-41.874,-72.431,1572,Stratovolcano,Holocene,vol-red
Hromundartindur,Iceland,64.073,-21.202,540,Stratovolcano,Holocene?,vol-red
Hualalai,United States,19.692,-155.87,2523,Shield volcano,Historical,vol-red
Huanquihue Group,Argentina,-39.87,-71.55,1300,Pyroclastic cone,Holocene,vol-red
Huaynaputina,Peru,-16.608,-70.85,4850,Stratovolcano,Historical,vol-red
Hudson Mountains,Antarctica,-74.33,-99.42,749,Stratovolcano,Uncertain,vol-red
"Hudson, Cerro",Chile,-45.9,-72.97,1905,Stratovolcano,Historical,vol-red
Huequi,Chile,-42.377,-72.578,1318,Stratovolcano,Historical,vol-red
Huila,Colombia,2.92,-76.05,5365,Stratovolcano,Historical,vol-red
Hulubelu,Indonesia,-5.35,104.6,1040,Caldera,Fumarolic,vol-red
"Humeros, Los",Mexico,19.68,-97.45,3150,Caldera,Holocene,vol-red
Hunga Tonga-Hunga Ha'apai,Tonga,-20.57,-175.38,0,Submarine volcano,Historical,vol-red
Hunter Island,Pacific Ocean,-22.4,172.05,297,Stratovolcano,Historical,vol-red
Hutapanjang,Indonesia,-2.333,101.6,2021,Stratovolcano,Holocene,vol-red
Hutapanjang,Indonesia,-2.33,101.6,2021,Stratovolcano,Holocene,vol-red
Hydrographers Range,Papua New Guinea,-9,148.37,1915,Stratovolcano,Holocene,vol-red
Iamalele,Papua New Guinea,-9.52,150.53,200,Lava dome,Holocene,vol-red
Ibu,Indonesia,1.475,127.642,1325,Stratovolcano,Historical,vol-red
Ibusuki Volc Field,Japan,31.22,130.57,922,Caldera,Historical,vol-red
Ichinsky,Russia,55.68,157.73,3621,Stratovolcano,Holocene,vol-red
Iettunup,Russia,58.4,161.08,1340,Shield volcano,Holocene,vol-red
Igwisi Hills,Tanzania,-4.87,31.92,0,Tuff cone,Holocene,vol-red
Ijen,Indonesia,-8.058,114.242,2799,Stratovolcano,Historical,vol-red
Iktunup,Russia,58.08,160.77,2300,Shield volcano,Holocene,vol-red
Iliamna,United States,60.03,-153.08,3053,Stratovolcano,Historical,vol-red
Iliboleng,Indonesia,-8.342,123.258,1659,Stratovolcano,Historical,vol-red
Ililabalekan,Indonesia,-8.53,123.42,1018,Stratovolcano,Fumarolic,vol-red
Ilimuda,Indonesia,-8.478,122.671,1100,Stratovolcano,Fumarolic,vol-red
Iliwerung,Indonesia,-8.54,123.59,1018,Complex volcano,Historical,vol-red
Illiniza,Ecuador,-0.659,-78.714,5248,Stratovolcano,Holocene,vol-red
Ilopango,El Salvador,13.672,-89.053,450,Caldera,Historical,vol-red
Ilyinsky,Russia,51.49,157.2,1578,Stratovolcano,Historical,vol-red
Imun,Indonesia,2.15,98.93,1505,Unknown,Holocene,vol-red
Imuruk Lake,United States,65.6,-163.92,610,Shield volcano,Radiocarbon,vol-red
In Ezzane Volc Field,Algeria,23,10.833,,Volcanic field,Holocene?,vol-red
Indian Heaven,United States,45.93,-121.82,1513,Shield volcano,Radiocarbon,vol-red
Ingakslugwat Hills,United States,61.43,-164.47,190,Cinder cone,Holocene,vol-red
Inielika,Indonesia,-8.73,120.98,1559,Complex volcano,Historical,vol-red
Inierie,Indonesia,-8.875,120.95,2245,Stratovolcano,Fumarolic,vol-red
Inyo Craters,United States,37.692,-119.02,2629,Lava dome,Radiocarbon,vol-red
Ipala Volc Field,Guatemala,14.55,-89.63,1650,Stratovolcano,Holocene,vol-red
Iraya,Philippines,20.469,122.01,1009,Stratovolcano,Historical,vol-red
Irazu,Costa Rica,9.979,-83.852,3432,Stratovolcano,Historical,vol-red
Iriga,Philippines,13.457,123.457,1196,Stratovolcano,Historical,vol-red
Iriomote-jima,Japan,24.558,124,-200,Submarine volcano,Historical,vol-red
Irruputuncu,Bolivia,-20.73,-68.55,5163,Stratovolcano,Historical,vol-red
Isanotski,United States,54.75,-163.73,2446,Stratovolcano,Historical,vol-red
Isarog,Philippines,13.658,123.37,1966,Stratovolcano,Holocene,vol-red
Ischia,Italy,40.73,13.897,789,Complex volcano,Historical,vol-red
Iskut-Unuk River Cones,Canada,56.58,-130.55,1880,Cinder cone,Radiocarbon,vol-red
Isluga,Chile,-19.15,-68.83,5050,Stratovolcano,Historical,vol-red
Itasy Volc Field,Madagascar,-19,46.77,1800,Scoria cone,Radiocarbon,vol-red
"Ithnayn, Harrat",Saudi Arabia,26.58,40.2,1625,Volcanic field,Holocene,vol-red
Ivao Group,Russia,45.77,149.68,1426,Cinder cone,Holocene,vol-red
Iwaki,Japan,40.65,140.3,1625,Stratovolcano,Historical,vol-red
Iwate,Japan,39.85,141,2041,Complex volcano,Historical,vol-red
Iwo-Tori-shima,Japan,27.85,128.25,217,Complex volcano,Historical,vol-red
Iwo-jima,Japan,24.75,141.33,161,Caldera,Historical,vol-red
Ixtepeque,Guatemala,14.42,-89.68,1292,Lava dome,Holocene,vol-red
Iya,Indonesia,-8.88,121.63,637,Stratovolcano,Historical,vol-red
Iyang-Argapura,Indonesia,-7.97,113.57,3088,Complex volcano,Holocene,vol-red
Izalco,El Salvador,13.813,-89.633,1950,Stratovolcano,Historical,vol-red
Iztaccihuatl,Mexico,19.179,-98.642,5230,Stratovolcano,Holocene,vol-red
Izu-Tobu,Japan,34.92,139.12,1406,Pyroclastic cone,Historical,vol-red
Izumbwe-Mpoli,Tanzania,-8.93,33.4,1568,Pyroclastic cone,Holocene,vol-red
Jailolo,Indonesia,1.08,127.42,1130,Stratovolcano,Holocene,vol-red
Jalajala,Philippines,14.35,121.33,743,Fumarole field,Fumarolic,vol-red
Jalua,Eritrea,15.042,39.82,713,Stratovolcano,Holocene,vol-red
Jan Mayen,Jan Mayen,71.08,-8.17,2277,Stratovolcano,Historical,vol-red
Jaraguay Volc Field,Mexico,29.33,-114.5,960,Cinder cone,Holocene,vol-red
"Jayu Khota, Laguna",Bolivia,-19.45,-67.417,3650,Maars,Holocene,vol-red
Jefferson,United States,44.692,-121.8,3199,Stratovolcano,Varve Count,vol-red
Jingpohu,China,44.08,128.83,500,Volcanic field,Radiocarbon,vol-red
Jocotitlan,Mexico,19.724,-99.757,3900,Stratovolcano,Radiocarbon,vol-red
Jocotitlan,Mexico,19.733,-99.758,3900,Stratovolcano,Radiocarbon,vol-red
Jordan Craters,United States,43.03,-117.42,1473,Volcanic field,Holocene,vol-red
"Joya, La",Nicaragua,11.92,-85.98,300,Fissure vent,Holocene,vol-red
Kaba,Indonesia,-3.52,102.62,1952,Stratovolcano,Historical,vol-red
Kabargin Oth Group,Georgia,42.55,44,3650,Cinder cone,Holocene,vol-red
Kadovar,Papua New Guinea,-3.62,144.62,365,Stratovolcano,Holocene,vol-red
Kagamil,United States,52.97,-169.72,893,Stratovolcano,Historical,vol-red
Kaguyak,United States,58.62,-154.05,901,Stratovolcano,Holocene,vol-red
Kaikata Seamount,Japan,26.667,141,-162,Submarine volcano,Fumarolic,vol-red
Kaikohe-Bay of Islands,New Zealand,-35.3,173.9,388,Volcanic field,Radiocarbon,vol-red
Kaileney,Russia,57.8,160.67,1582,Shield volcano,Holocene,vol-red
Kaitoku Seamount,Japan,26.122,141.102,-10,Submarine volcano,Historical,vol-red
Kalatungan,Philippines,7.95,124.8,2824,Stratovolcano,Holocene,vol-red
Kambalny,Russia,51.3,156.87,2156,Stratovolcano,Holocene,vol-red
Kamen,Russia,56.02,160.593,4585,Stratovolcano,Holocene,vol-red
Kana Keoki,Solomon Is.,-8.75,157.03,-700,Submarine volcano,Holocene,vol-red
Kanaga,United States,51.92,-177.17,1307,Stratovolcano,Historical,vol-red
Kao,Tonga,-19.667,-175.033,1030,Stratovolcano,Holocene,vol-red
Karacalidag,Turkey,37.67,39.83,1957,Shield volcano,Holocene,vol-red
"Karaha, Kawah",Indonesia,-7.12,108.08,1155,Fumarole field,Fumarolic,vol-red
Karang,Indonesia,-6.27,106.042,1778,Stratovolcano,Holocene,vol-red
Karangetang [Api Siau],Indonesia,2.78,125.48,1784,Stratovolcano,Historical,vol-red
Karapinar Field,Turkey,37.67,33.65,1302,Cinder cone,Holocene,vol-red
Karisimbi,"Congo, DRC",-1.5,29.45,4507,Stratovolcano,Holocene,vol-red
Karkar,Papua New Guinea,-4.649,145.964,1839,Stratovolcano,Historical,vol-red
Karpinsky Group,Russia,50.13,155.37,1345,Cone,Historical,vol-red
Kars Plateau,Turkey,40.75,42.9,3000,Volcanic field,Holocene,vol-red
Karthala,Comoros,-11.75,43.38,2361,Shield volcano,Historical,vol-red
Karymsky,Russia,54.05,159.43,1536,Stratovolcano,Historical,vol-red
Kasatochi,United States,52.18,-175.5,314,Stratovolcano,Historical,vol-red
Kasbek,Georgia,42.7,44.5,5050,Stratovolcano,Tephrochronology,vol-red
Kasuga,Japan,21.77,143.72,-558,Submarine volcano,Uncertain,vol-red
Katla,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,vol-red
Katmai,United States,58.27,-154.98,2047,Stratovolcano,Historical,vol-red
Katunga,Uganda,-0.47,30.18,1707,Tuff cone,Holocene,vol-red
Katwe-Kikorongo Field,Uganda,-0.08,29.92,1067,Tuff cone,Holocene,vol-red
Kavachi,Solomon Is.,-9.02,157.95,-20,Submarine volcano,Historical,vol-red
Kawi-Butak,Indonesia,-7.92,112.45,2651,Stratovolcano,Holocene,vol-red
Kebeney,Russia,57.1,159.93,1527,Shield volcano,Holocene,vol-red
Kekurny,Russia,56.4,158.85,1377,Shield volcano,Holocene,vol-red
Kelimutu,Indonesia,-8.758,121.83,1640,Complex volcano,Historical,vol-red
Kell,Russia,51.65,157.35,900,Stratovolcano,Holocene,vol-red
Keluo Group,China,49.37,125.92,670,Pyroclastic cone,Holocene,vol-red
Kelut,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,vol-red
Kendang,Indonesia,-7.23,107.72,2608,Stratovolcano,Holocene,vol-red
Kerguelen Islands,French Southern & Antarctic Lands,-49.58,69.5,1840,Stratovolcano,Holocene,vol-red
Kerinci,Indonesia,-1.814,101.264,3800,Stratovolcano,Historical,vol-red
Ketoi,Russia,47.35,152.475,1172,Stratovolcano,Historical,vol-red
Khangar,Russia,54.75,157.38,2000,Stratovolcano,Radiocarbon,vol-red
Khanuy Gol,Mongolia,48.67,102.75,1886,Volcanic field,Holocene,vol-red
Kharimkotan,Russia,49.12,154.508,1145,Stratovolcano,Historical,vol-red
"Khaybar, Harrat",Saudi Arabia,25,39.92,2093,Volcanic field,Historical,vol-red
Khodutka,Russia,52.063,157.703,2090,Stratovolcano,Radiocarbon,vol-red
Kialagvik,United States,57.38,-156.75,1575,Stratovolcano,Holocene,vol-red
Kiaraberes-Gagak,Indonesia,-6.73,106.65,1511,Stratovolcano,Historical,vol-red
Kick-'em-Jenny,Netherlands,12.3,-61.63,-177,Submarine volcano,Historical,vol-red
Kieyo,Tanzania,-9.23,33.78,2175,Stratovolcano,Historical,vol-red
Kikai,Japan,30.78,130.28,717,Caldera,Historical,vol-red
Kikhpinych,Russia,54.487,160.253,1552,Stratovolcano,Radiocarbon,vol-red
Kilauea,United States,19.425,-155.292,1222,Shield volcano,Historical,vol-red
Kilimanjaro,Tanzania,-3.07,37.35,5895,Stratovolcano,Holocene,vol-red
Kinenin,Russia,57.35,160.967,583,Maar,Radiocarbon,vol-red
Kirishima,Japan,31.93,130.87,1700,Shield volcano,Historical,vol-red
"Kishb, Harrat",Saudi Arabia,22.8,41.38,1475,Volcanic field,Holocene,vol-red
Kiska,United States,52.1,177.6,1220,Stratovolcano,Historical,vol-red
Kita-Fukutokutai,Japan,24.414,141.419,-73,Submarine volcano,Holocene,vol-red
Kita-Iwo-jima,Japan,25.43,141.23,792,Stratovolcano,Historical,vol-red
Kizimen,Russia,55.13,160.32,2485,Stratovolcano,Historical,vol-red
Klabat,Indonesia,1.47,125.03,1995,Stratovolcano,Fumarolic,vol-red
Kliuchevskoi,Russia,56.057,160.638,4835,Stratovolcano,Historical,vol-red
Kolbeinsey Ridge,Iceland,66.67,-18.5,0,Submarine volcano,Historical,vol-red
Kolkhozhny,Russia,55.07,160.77,2161,Stratovolcano,Holocene,vol-red
Kolokol Group,Russia,46.042,150.05,1328,Somma volcano,Historical,vol-red
Komaga-take,Japan,42.07,140.68,1140,Stratovolcano,Historical,vol-red
Komarov,Russia,55.032,160.72,2070,Stratovolcano,Holocene,vol-red
Kone,Ethiopia,8.8,39.692,1619,Caldera,Historical,vol-red
Koniuji,United States,52.22,-175.13,272,Stratovolcano,Uncertain,vol-red
Kookooligit Mountains,United States,63.6,-170.43,673,Shield volcano,Holocene,vol-red
Koranga,Papua New Guinea,-7.33,146.708,0,Explosion crater,Holocene,vol-red
Korath Range,Ethiopia,5.1,35.88,912,Tuff cone,Holocene,vol-red
Koro,Fiji,-17.32,179.4,522,Cinder cone,Holocene,vol-red
Korosi,Kenya,0.77,36.12,1446,Shield volcano,Holocene,vol-red
Koryaksky,Russia,53.32,158.688,3456,Stratovolcano,Historical,vol-red
Koshelev,Russia,51.357,156.75,1812,Stratovolcano,Historical,vol-red
