Name,Country,Latitude,Longitude,Elevation,Type,Status,marker-symbol
Arenal,Costa Rica,10.463,-84.703,1657,Stratovolcano,Historical,vol-red
Arenales,Chile,-47.2,-73.483,3437,Stratovolcano,Historical,vol-red
"Arhab, Harra of",Yemen,15.63,44.08,3100,Volcanic field,Historical,vol-red
Arjuno-Welirang,Indonesia,-7.725,112.58,3339,Stratovolcano,Historical,vol-red
Arshan,China,47.5,120.7,,Cinder cones,Radiocarbon,vol-red
Asama,Japan,36.4,138.53,2560,Complex volcano,Historical,vol-red
Asavyo,Ethiopia,13.07,41.6,1200,Shield volcano,Holocene,vol-red
Ascension,Atlantic Ocean,-7.95,-14.37,858,Stratovolcano,Holocene,vol-red
Askja,Iceland,65.03,-16.75,1516,Stratovolcano,Historical,vol-red
Aso,Japan,32.88,131.1,1592,Caldera,Historical,vol-red
Assab Volc Field,Eritrea,12.95,42.43,987,Volcanic field,Holocene,vol-red
Asuncion,United States,19.67,145.4,857,Stratovolcano,Historical,vol-red
Atacazo,Ecuador,-0.353,-78.617,4463,Stratovolcano,Radiocarbon,vol-red
Atakor Volc Field,Algeria,23.333,5.833,2918,Scoria cones,Holocene,vol-red
Atitlan,Guatemala,14.583,-91.186,3535,Stratovolcano,Historical,vol-red
Atka,United States,52.38,-174.15,1533,Stratovolcano,Historical,vol-red
Atlasova,Russia,57.97,160.65,1764,Shield volcano,Holocene,vol-red
"Atlixcos, Cerro Los",Mexico,19.809,-96.526,800,Shield volcano,Holocene,vol-red
Atsonupuri,Russia,44.804,147.13,1205,Stratovolcano,Historical,vol-red
"Atuel, Caldera del",Argentina,-34.65,-70.05,5189,Caldera,Holocene,vol-red
Auckland Field,New Zealand,-36.9,174.87,260,Volcanic field,Radiocarbon,vol-red
Augustine,United States,59.37,-153.42,1252,Lava dome,Historical,vol-red
Avachinsky,Russia,53.255,158.83,2741,Stratovolcano,Historical,vol-red
Awu,Indonesia,3.67,125.5,1320,Stratovolcano,Historical,vol-red
Axial Seamount,Pacific Ocean,45.95,-130,-1500,Submarine volcano,Historical,vol-red
Ayelu,Ethiopia,10.082,40.702,2145,Stratovolcano,Holocene,vol-red
"Azufral, Volcan",Colombia,1.08,-77.68,4070,Stratovolcano,Radiocarbon,vol-red
"Azul, Cerro",Ecuador,-0.9,-91.42,1690,Shield volcano,Historical,vol-red
"Azul, Cerro [Quizapu]",Chile,-35.653,-70.761,3788,Stratovolcano,Historical,vol-red
"Azul, Volcan",Nicaragua,12.53,-83.87,201,Cinder cone,Holocene,vol-red
Azuma,Japan,37.73,140.25,2024,Stratovolcano,Historical,vol-red
Babuyan Claro,Philippines,19.523,121.94,1180,Stratovolcano,Historical,vol-red
Bachelor,United States,43.979,-121.688,2763,Stratovolcano,Tephrochronology,vol-red
Bagana,Papua New Guinea,-6.14,155.195,1750,Lava cone,Historical,vol-red
Bakenin,Russia,53.905,158.07,2278,Stratovolcano,Tephrochronology,vol-red
Baker,United States,48.786,-121.82,3285,Stratovolcano,Historical,vol-red
"Bal Haf, Harra of",Yemen,14.05,48.33,233,Volcanic field,Holocene,vol-red
Balatocan,Philippines,8.8,124.92,2450,Compound volcano,Fumarolic,vol-red
Balbi,Papua New Guinea,-5.83,154.98,2715,Stratovolcano,Holocene,vol-red
Bald Knoll,United States,37.328,-112.408,2135,Cinder cone,Holocene,vol-red
Baluan,United States,-2.57,147.28,254,Stratovolcano,Holocene,vol-red
Baluran,Indonesia,-7.85,114.37,1247,Stratovolcano,Holocene,vol-red
Balut,Philippines,5.4,125.375,852,Stratovolcano,Holocene,vol-red
Bam,Papua New Guinea,-3.6,144.85,685,Stratovolcano,Historical,vol-red
Bamus,Papua New Guinea,-5.2,151.23,2248,Stratovolcano,Anthropology,vol-red
Banahao,Philippines,14.07,121.48,2158,Complex volcano,Holocene,vol-red
Banda Api,Pacific Ocean,-4.525,129.871,640,Caldera,Historical,vol-red
